Date,ProductID,ProductName,Category,Brand,CustomerID,CustomerName,Gender,Region,StoreID,StoreName,StoreCity,Quantity,UnitPrice,Discount,SalesAmount,Profit
2023-06-26,P0359,Lays Might,Food,Lays,C0152,Leslie,Female,Mcconnellfurt,S043,Store_43,West Cathy,9,4929,0.05,42142.95,3227.44
2023-01-03,P0116,Nike Page,Fashion,Nike,C0751,Alyssa,Female,East Ann,S028,Store_28,North Jason,10,15845,0.15,134682.5,27159.07
2023-02-15,P0329,Oreo Left,Food,Oreo,C0094,James,Female,Nancyshire,S012,Store_12,Kariport,4,30655,0.15,104227.0,9215.3
2023-05-30,P0349,Lays Himself,Food,Lays,C0246,Courtney,Male,Morenoberg,S016,Store_16,West Leah,9,33681,0.15,257659.65,32106.1
2023-07-12,P0388,Pepsi These,Food,Pepsi,C0742,David,Female,Welchborough,S024,Store_24,South Whitneyport,1,37501,0.05,35625.95,3442.33
2023-06-29,P0033,Apple Visit,Electronics,Apple,C0354,Joshua,Male,Boydton,S032,Store_32,Port Dannyborough,4,19547,0.0,78188.0,9900.14
2023-04-10,P0293,Tefal Close,Home,Tefal,C0887,Glenn,Male,Contrerasfurt,S022,Store_22,Geraldside,9,14326,0.05,122487.3,30579.57
2023-12-13,P0490,Shiseido Radio,Beauty,Shiseido,C0625,Wendy,Female,Robbinsview,S018,Store_18,Marialand,2,27591,0.1,49663.8,5148.27
2023-10-16,P0243,Philips Those,Home,Philips,C0900,Jennifer,Female,South Heatherside,S019,Store_19,Colemanberg,4,27084,0.1,97502.4,21618.28
2023-02-02,P0460,Estee Lauder Artist,Beauty,Estee Lauder,C0555,Kelli,Male,South John,S001,Store_1,East Jonathanview,3,13740,0.1,37098.0,5339.21
2023-09-21,P0374,Heinz Personal,Food,Heinz,C0287,Brian,Male,Kaylashire,S029,Store_29,Lake Kimberlyland,8,18778,0.15,127690.4,29442.98
2023-11-15,P0301,Nestle Field,Food,Nestle,C0305,John,Male,New Chad,S005,Store_5,Heathermouth,4,45909,0.0,183636.0,48535.38
2023-02-05,P0223,Sealy Real,Home,Sealy,C0354,Joshua,Male,Boydton,S028,Store_28,North Jason,7,4498,0.0,31486.0,8465.7
2023-03-26,P0495,Shiseido Success,Beauty,Shiseido,C0819,Mary,Male,Nicholasland,S015,Store_15,Samanthaview,6,13605,0.1,73467.0,10835.03
2023-08-31,P0139,Adidas End,Fashion,Adidas,C0291,Alexandra,Male,New Jenniferfort,S002,Store_2,New Laura,7,3223,0.15,19176.85,1945.08
2023-11-05,P0134,Adidas Fly,Fashion,Adidas,C0127,Carly,Female,Brownton,S022,Store_22,Geraldside,9,25172,0.1,203893.2,17335.04
