date,productid,productname,category,brand,customerid,customername,gender,region,storeid,storename,storecity,quantity,unitprice,discount,salesamount,profit
2023-06-26,P0359,Lays Might,Food,Lays,C0152,Leslie,Female,Mcconnellfurt,S043,Store_43,West Cathy,9,4929.00,0.05,42142.95,3227.44
2023-01-03,P0116,Nike Page,Fashion,Nike,C0751,Alyssa,Female,East Ann,S028,Store_28,North Jason,10,15845.00,0.15,134682.50,27159.07
2023-02-15,P0329,Oreo Left,Food,Oreo,C0094,James,Female,Nancyshire,S012,Store_12,Kariport,4,30655.00,0.15,104227.00,9215.30
2023-05-30,P0349,Lays Himself,Food,Lays,C0246,Courtney,Male,Morenoberg,S016,Store_16,West Leah,9,33681.00,0.15,257659.65,32106.10
2023-07-12,P0388,Pepsi These,Food,Pepsi,C0742,David,Female,Welchborough,S024,Store_24,South Whitneyport,1,37501.00,0.05,35625.95,3442.33
2023-06-29,P0033,Apple Visit,Electronics,Apple,C0354,Joshua,Male,Boydton,S032,Store_32,Port Dannyborough,4,19547.00,0.00,78188.00,9900.14
2023-04-10,P0293,Tefal Close,Home,Tefal,C0887,Glenn,Male,Contrerasfurt,S022,Store_22,Geraldside,9,14326.00,0.05,122487.30,30579.57
2023-12-13,P0490,Shiseido Radio,Beauty,Shiseido,C0625,Wendy,Female,Robbinsview,S018,Store_18,Marialand,2,27591.00,0.10,49663.80,5148.27
2023-10-16,P0243,Philips Those,Home,Philips,C0900,Jennifer,Female,South Heatherside,S019,Store_19,Colemanberg,4,27084.00,0.10,97502.40,21618.28
2023-02-02,P0460,Estee Lauder Artist,Beauty,Estee Lauder,C0555,Kelli,Male,South John,S001,Store_1,East Jonathanview,3,13740.00,0.10,37098.00,5339.21
2023-09-21,P0374,Heinz Personal,Food,Heinz,C0287,Brian,Male,Kaylashire,S029,Store_29,Lake Kimberlyland,8,18778.00,0.15,127690.40,29442.98
2023-11-15,P0301,Nestle Field,Food,Nestle,C0305,John,Male,New Chad,S005,Store_5,Heathermouth,4,45909.00,0.00,183636.00,48535.38
2023-02-05,P0223,Sealy Real,Home,Sealy,C0354,Joshua,Male,Boydton,S028,Store_28,North Jason,7,4498.00,0.00,31486.00,8465.70
2023-03-26,P0495,Shiseido Success,Beauty,Shiseido,C0819,Mary,Male,Nicholasland,S015,Store_15,Samanthaview,6,13605.00,0.10,73467.00,10835.03
2023-08-31,P0139,Adidas End,Fashion,Adidas,C0291,Alexandra,Male,New Jenniferfort,S002,Store_2,New Laura,7,3223.00,0.15,19176.85,1945.08
2023-11-05,P0134,Adidas Fly,Fashion,Adidas,C0127,Carly,Female,Brownton,S022,Store_22,Geraldside,9,25172.00,0.10,203893.20,17335.04
2023-12-18,P0058,Sony She,Electronics,Sony,C0115,Christopher,Female,Bassborough,S040,Store_40,New Sandraton,4,5303.00,0.10,19090.80,1899.95
2023-11-26,P0314,Nestle Modern,Food,Nestle,C0805,Chad,Female,New Ryanborough,S020,Store_20,Seanstad,3,2837.00,0.20,6808.80,667.34
2023-07-13,P0186,Uniqlo Area,Fashion,Uniqlo,C0228,Peggy,Female,East Sandra,S003,Store_3,Melissatown,6,48503.00,0.05,276467.10,26475.98
2023-05-11,P0098,HP Great,Electronics,HP,C0502,Andrea,Male,South Cindy,S022,Store_22,Geraldside,9,32805.00,0.15,250958.25,27666.44
2023-11-18,P0405,L'Oreal Than,Beauty,L'Oreal,C0110,Steven,Female,New Heatherview,S003,Store_3,Melissatown,4,6858.00,0.05,26060.40,1753.23
2023-12-05,P0153,Zara It,Fashion,Zara,C0946,Rebecca,Female,Rodriguezhaven,S038,Store_38,Lake Kenneth,3,17978.00,0.15,45843.90,7877.56
2023-04-15,P0072,Dell Investment,Electronics,Dell,C0528,Jane,Female,New Brentport,S034,Store_34,Allenchester,4,4445.00,0.15,15113.00,4061.88
2023-11-23,P0272,Panasonic Father,Home,Panasonic,C0056,Amanda,Male,West Robert,S014,Store_14,Port Frances,1,47943.00,0.15,40751.55,2206.13
2023-04-01,P0273,Panasonic Tell,Home,Panasonic,C0482,Sherry,Female,Tinastad,S005,Store_5,Heathermouth,9,8498.00,0.00,76482.00,18449.36
2023-03-14,P0217,IKEA Agent,Home,IKEA,C0940,Mario,Female,Andersonton,S037,Store_37,South Tonyashire,4,942.00,0.15,3202.80,807.77
2023-07-14,P0179,H&M Should,Fashion,H&M,C0323,Mark,Male,Thomasberg,S003,Store_3,Melissatown,9,39089.00,0.05,334210.95,57171.82
2023-03-12,P0190,Uniqlo Recognize,Fashion,Uniqlo,C0542,Megan,Male,New Connie,S046,Store_46,Lisaside,5,20071.00,0.00,100355.00,6219.73
2023-03-21,P0246,Philips Development,Home,Philips,C0812,Kayla,Male,Markville,S039,Store_39,West Shawnashire,5,20594.00,0.10,92673.00,6598.87
2023-02-03,P0042,Sony Institution,Electronics,Sony,C0151,William,Female,Port Caitlinland,S027,Store_27,Jamesfort,5,37184.00,0.00,185920.00,46262.45
2023-03-12,P0140,Adidas Choose,Fashion,Adidas,C0452,Daniel,Female,Lake Raymond,S046,Store_46,Lisaside,5,35644.00,0.00,178220.00,34341.72
2023-10-08,P0459,Estee Lauder Through,Beauty,Estee Lauder,C0145,Dylan,Male,Mcdonaldchester,S031,Store_31,North Rachel,2,44006.00,0.05,83611.40,18461.57
2023-04-03,P0145,Zara Pattern,Fashion,Zara,C0050,Heather,Female,Lake Charles,S050,Store_50,Mendozastad,1,19495.00,0.15,16570.75,1524.62
2023-06-25,P0234,Sealy Guess,Home,Sealy,C0657,James,Female,New Teresamouth,S011,Store_11,South Terrimouth,9,46457.00,0.15,355396.05,76842.91
2023-05-01,P0183,Uniqlo Respond,Fashion,Uniqlo,C0059,Olivia,Male,North Kellymouth,S004,Store_4,Courtneymouth,3,7884.00,0.15,20104.20,1080.96
2023-04-28,P0167,H&M Personal,Fashion,H&M,C0053,Ryan,Male,Lake Michelleland,S024,Store_24,South Whitneyport,4,11042.00,0.10,39751.20,2668.75
2023-04-10,P0412,L'Oreal Form,Beauty,L'Oreal,C0287,Brian,Male,Kaylashire,S050,Store_50,Mendozastad,5,48875.00,0.05,232156.25,67016.29
2023-01-20,P0383,Pepsi Practice,Food,Pepsi,C0739,Patrick,Female,South Timothyville,S022,Store_22,Geraldside,2,46532.00,0.05,88410.80,25177.37
2023-07-30,P0138,Adidas Mrs,Fashion,Adidas,C0932,Gary,Female,Jeanetteville,S006,Store_6,Alyssaview,1,49370.00,0.10,44433.00,8355.94
2023-04-20,P0103,Nike Answer,Fashion,Nike,C0796,Jacob,Female,North Annaton,S033,Store_33,Adamfurt,9,44979.00,0.00,404811.00,41457.85
2023-05-17,P0331,Oreo Party,Food,Oreo,C0274,Clayton,Female,Younghaven,S009,Store_9,North Curtishaven,4,30709.00,0.20,98268.80,19011.80
2023-10-19,P0482,Shiseido Detail,Beauty,Shiseido,C0298,Angela,Male,West Ashleyton,S042,Store_42,Paulmouth,5,3469.00,0.20,13876.00,933.50
2023-04-21,P0276,Panasonic Page,Home,Panasonic,C0642,Denise,Male,Port Dennisside,S029,Store_29,Lake Kimberlyland,3,48915.00,0.20,117396.00,7246.11
2023-02-15,P0093,HP Big,Electronics,HP,C0754,Michael,Female,Greenbury,S033,Store_33,Adamfurt,9,34236.00,0.20,246499.20,50206.64
2023-05-03,P0338,Oreo Science,Food,Oreo,C0848,Lisa,Female,Brooksfurt,S024,Store_24,South Whitneyport,10,49668.00,0.10,447012.00,27197.07
2023-03-19,P0161,H&M Color,Fashion,H&M,C0983,Joshua,Male,Ericport,S031,Store_31,North Rachel,4,37044.00,0.20,118540.80,18617.12
2023-04-10,P0170,H&M Past,Fashion,H&M,C0797,Peter,Female,Gibsonchester,S017,Store_17,Davidmouth,1,49530.00,0.10,44577.00,3523.70
2023-03-26,P0277,Panasonic Edge,Home,Panasonic,C0144,Jose,Female,Johnsonside,S032,Store_32,Port Dannyborough,3,30626.00,0.10,82690.20,22041.22
2023-01-22,P0497,Shiseido Simply,Beauty,Shiseido,C0011,John,Male,Davidtown,S038,Store_38,Lake Kenneth,10,25366.00,0.10,228294.00,16494.81
2023-02-11,P0091,HP Character,Electronics,HP,C0398,Mary,Female,North Franciscofurt,S037,Store_37,South Tonyashire,2,389.00,0.15,661.30,189.91
2023-10-20,P0382,Pepsi Debate,Food,Pepsi,C0350,Kevin,Male,East Rebeccamouth,S020,Store_20,Seanstad,10,40790.00,0.00,407900.00,46244.95
2023-07-15,P0340,Oreo Report,Food,Oreo,C0565,Jennifer,Female,New Yvonneburgh,S020,Store_20,Seanstad,2,37295.00,0.20,59672.00,7994.78
2023-08-12,P0258,Philips Vote,Home,Philips,C0291,Alexandra,Male,New Jenniferfort,S041,Store_41,Burnshaven,7,12641.00,0.00,88487.00,20918.38
2023-06-23,P0008,Samsung Outside,Electronics,Samsung,C0993,Michael,Female,Matafurt,S035,Store_35,Karenfurt,4,39732.00,0.20,127142.40,33963.77
2023-06-30,P0032,Apple Game,Electronics,Apple,C0751,Alyssa,Female,East Ann,S028,Store_28,North Jason,1,46286.00,0.10,41657.40,8944.24
2023-07-18,P0094,HP Somebody,Electronics,HP,C0861,Thomas,Female,West Aaronport,S046,Store_46,Lisaside,3,30635.00,0.00,91905.00,19740.06
2023-08-23,P0202,IKEA Make,Home,IKEA,C0257,Randy,Female,East Victoria,S014,Store_14,Port Frances,10,12338.00,0.05,117211.00,22590.61
2023-09-01,P0322,Oreo Name,Food,Oreo,C0839,Jessica,Female,Christineside,S009,Store_9,North Curtishaven,5,48043.00,0.05,228204.25,36105.83
2023-11-25,P0004,Samsung Raise,Electronics,Samsung,C0330,Abigail,Male,Rodneyshire,S039,Store_39,West Shawnashire,10,46243.00,0.05,439308.50,27115.41
2023-05-25,P0460,Estee Lauder Artist,Beauty,Estee Lauder,C0566,Jessica,Male,North Amy,S003,Store_3,Melissatown,5,38142.00,0.20,152568.00,12395.88
2023-11-29,P0430,Maybelline International,Beauty,Maybelline,C0860,Anna,Female,Jayville,S031,Store_31,North Rachel,9,27610.00,0.15,211216.50,35252.49
2023-07-11,P0255,Philips Office,Home,Philips,C0168,Kathryn,Male,Newmanton,S033,Store_33,Adamfurt,5,2028.00,0.15,8619.00,1037.57
2023-01-11,P0350,Lays A,Food,Lays,C0187,Donald,Male,South Alison,S039,Store_39,West Shawnashire,3,42944.00,0.00,128832.00,36573.29
2023-01-10,P0136,Adidas Herself,Fashion,Adidas,C0454,Ashley,Male,South Sydney,S030,Store_30,Nicoleton,2,44736.00,0.00,89472.00,16679.32
2023-06-29,P0134,Adidas Fly,Fashion,Adidas,C0771,Joseph,Male,Pinedatown,S039,Store_39,West Shawnashire,7,43911.00,0.05,292008.15,53042.21
2023-06-05,P0249,Philips Much,Home,Philips,C0925,Taylor,Female,Jensenburgh,S032,Store_32,Port Dannyborough,7,42499.00,0.05,282618.35,41622.73
